Linux 2.6.32.43-tlinux-1.0.8-default (TENCENT64.site) 	12/20/2018 	_x86_64_	(24 CPU)

12:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01        all      2.85      0.00      3.34      0.06      0.00     93.75
12:20:01        all      2.29      0.00      2.88      0.01      0.00     94.82
12:30:01        all      2.36      0.00      3.19      0.02      0.00     94.43
12:40:01        all      2.38      0.00      3.08      0.00      0.00     94.54
12:50:01        all      2.29      0.00      2.92      0.00      0.00     94.79
01:00:01        all      2.25      0.00      2.89      0.00      0.00     94.86
01:10:01        all      2.48      0.00      3.00      0.00      0.00     94.52
01:20:01        all      2.24      0.00      2.91      0.00      0.00     94.84
01:30:01        all      2.30      0.00      2.90      0.00      0.00     94.80
01:40:01        all      2.34      0.00      3.00      0.00      0.00     94.66
01:50:01        all      2.61      0.00      3.17      0.00      0.00     94.22
02:00:01        all      2.96      0.00      2.92      0.00      0.00     94.12
02:10:01        all      2.96      0.00      3.00      0.00      0.00     94.04
02:20:01        all      2.45      0.00      3.06      0.00      0.00     94.49
02:30:01        all      2.32      0.00      2.99      0.00      0.00     94.69
02:40:01        all      2.25      0.00      2.97      0.00      0.00     94.77
02:50:01        all      2.27      0.00      2.91      0.00      0.00     94.82
03:00:01        all      2.31      0.00      3.10      0.00      0.00     94.59
03:10:01        all      2.47      0.00      2.99      0.00      0.00     94.54
03:20:01        all      2.26      0.00      2.93      0.00      0.00     94.81
03:30:01        all      2.27      0.00      2.90      0.00      0.00     94.83
03:40:01        all      2.33      0.00      2.98      0.00      0.00     94.70
03:50:01        all      2.34      0.00      2.89      0.00      0.00     94.77
04:00:01        all      2.76      0.00      2.91      0.00      0.00     94.33
04:10:01        all      2.57      0.00      3.01      0.00      0.00     94.42
04:20:01        all      2.29      0.00      2.99      0.00      0.00     94.71
04:30:01        all      2.30      0.00      2.88      0.00      0.00     94.82
04:40:01        all      2.35      0.00      2.98      0.00      0.00     94.67
04:50:01        all      2.29      0.00      2.89      0.00      0.00     94.81
05:00:01        all      2.28      0.00      2.91      0.00      0.00     94.81
05:10:01        all      2.43      0.00      2.98      0.00      0.00     94.58
05:20:01        all      2.36      0.00      3.17      0.00      0.00     94.48
05:30:01        all      2.28      0.00      2.89      0.00      0.00     94.83
05:40:01        all      2.32      0.00      2.98      0.00      0.00     94.70
05:50:01        all      2.43      0.00      2.95      0.00      0.00     94.62
06:00:01        all      2.97      0.00      3.09      0.00      0.00     93.94
06:10:01        all      2.75      0.00      3.14      0.00      0.00     94.11
06:20:01        all      2.48      0.00      2.98      0.00      0.00     94.54
06:30:01        all      2.77      0.00      2.89      0.00      0.00     94.34
06:40:01        all      2.38      0.00      2.98      0.00      0.00     94.63
06:50:01        all      2.20      0.00      2.89      0.00      0.00     94.91
07:00:01        all      2.34      0.00      2.88      0.00      0.00     94.78
07:10:01        all      2.31      0.00      2.99      0.00      0.00     94.70
07:20:01        all      2.42      0.00      2.90      0.00      0.00     94.68
07:30:01        all      2.32      0.00      2.96      0.00      0.00     94.72
07:40:01        all      2.31      0.00      3.01      0.00      0.00     94.68
07:50:01        all      2.27      0.00      2.88      0.00      0.00     94.84
08:00:01        all      2.27      0.00      2.90      0.00      0.00     94.83
08:10:01        all      2.37      0.00      3.02      0.00      0.00     94.62
08:20:01        all      2.43      0.00      2.94      0.00      0.00     94.63
08:30:01        all      2.31      0.00      2.93      0.00      0.00     94.76
08:40:01        all      2.41      0.00      3.07      0.00      0.00     94.51
08:50:01        all      2.73      0.00      2.99      0.00      0.00     94.28
09:00:02        all      2.42      0.00      2.94      0.00      0.00     94.64
09:10:01        all      2.37      0.00      3.08      0.00      0.00     94.56
09:20:01        all      2.45      0.00      3.02      0.00      0.00     94.53
09:30:01        all      2.35      0.00      3.06      0.00      0.00     94.59
09:40:01        all      2.36      0.00      3.21      0.00      0.00     94.43
09:50:01        all      2.41      0.00      3.18      0.00      0.00     94.41
10:00:01        all      2.40      0.00      3.18      0.00      0.00     94.41
10:10:01        all      2.35      0.00      3.10      0.00      0.00     94.55
10:20:01        all      2.57      0.00      3.23      0.00      0.00     94.20
10:30:01        all      2.37      0.00      3.16      0.00      0.00     94.47
10:40:01        all      2.69      0.00      3.24      0.00      0.00     94.06
10:50:01        all      3.27      0.00      3.23      0.06      0.00     93.44
11:00:01        all      2.54      0.00      3.16      0.00      0.00     94.29
11:10:01        all      2.43      0.00      3.18      0.00      0.00     94.39
