Linux 2.6.32.43-tlinux-1.0.8-default (TENCENT64.site) 	12/18/2018 	_x86_64_	(24 CPU)

12:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01        all      3.11      0.00      3.29      0.03      0.00     93.57
12:20:01        all      2.36      0.00      2.90      0.00      0.00     94.73
12:30:01        all      2.44      0.00      3.21      0.00      0.00     94.35
12:40:01        all      2.28      0.00      2.89      0.00      0.00     94.83
12:50:01        all      2.24      0.00      2.85      0.00      0.00     94.91
01:00:01        all      2.45      0.00      2.98      0.01      0.00     94.56
01:10:01        all      2.26      0.00      2.88      0.00      0.00     94.86
01:20:01        all      2.27      0.00      2.86      0.00      0.00     94.87
01:30:01        all      2.35      0.00      2.96      0.00      0.00     94.69
01:40:01        all      2.27      0.00      2.94      0.00      0.00     94.80
01:50:01        all      2.65      0.00      3.08      0.00      0.00     94.27
02:00:01        all      2.52      0.00      3.00      0.00      0.00     94.48
02:10:01        all      2.76      0.00      2.89      0.00      0.00     94.35
02:20:01        all      2.40      0.00      3.12      0.00      0.00     94.47
02:30:01        all      2.72      0.00      3.02      0.00      0.00     94.26
02:40:01        all      2.43      0.00      2.89      0.00      0.00     94.68
02:50:01        all      2.30      0.00      3.08      0.00      0.00     94.62
03:00:01        all      2.45      0.00      3.03      0.00      0.00     94.52
03:10:01        all      2.27      0.00      2.87      0.00      0.00     94.86
03:20:01        all      2.27      0.00      2.86      0.00      0.00     94.86
03:30:01        all      2.34      0.00      2.96      0.00      0.00     94.70
03:40:01        all      2.23      0.00      2.86      0.00      0.00     94.91
03:50:01        all      2.26      0.00      2.86      0.00      0.00     94.88
04:00:01        all      2.52      0.00      2.97      0.00      0.00     94.51
04:10:01        all      2.81      0.00      2.91      0.00      0.00     94.28
04:20:01        all      2.34      0.00      2.95      0.00      0.00     94.70
04:30:01        all      2.31      0.00      2.97      0.00      0.00     94.72
04:40:01        all      2.24      0.00      2.86      0.00      0.00     94.89
04:50:01        all      2.27      0.00      2.87      0.00      0.00     94.85
05:00:01        all      2.34      0.00      2.88      0.00      0.00     94.78
05:10:01        all      2.39      0.00      3.07      0.00      0.00     94.54
05:20:01        all      2.28      0.00      3.05      0.00      0.00     94.66
05:30:01        all      2.25      0.00      2.86      0.00      0.00     94.89
05:40:01        all      2.30      0.00      2.95      0.00      0.00     94.75
05:50:01        all      2.38      0.00      2.98      0.00      0.00     94.63
06:00:01        all      2.87      0.00      3.03      0.00      0.00     94.10
06:10:01        all      2.99      0.00      3.12      0.00      0.00     93.89
06:20:01        all      2.27      0.00      2.86      0.00      0.00     94.87
06:30:01        all      2.26      0.00      2.85      0.00      0.00     94.89
06:40:01        all      1.86      0.00      2.91      0.00      0.00     95.23
06:50:01        all      2.90      0.00      2.91      0.00      0.00     94.19
07:00:01        all      2.62      0.00      2.90      0.00      0.00     94.48
07:10:01        all      2.46      0.00      2.97      0.00      0.00     94.56
07:20:01        all      2.26      0.00      2.87      0.00      0.00     94.87
07:30:01        all      2.27      0.00      2.86      0.00      0.00     94.87
07:40:01        all      2.30      0.00      2.96      0.00      0.00     94.74
07:50:01        all      2.25      0.00      2.89      0.00      0.00     94.86
08:00:01        all      2.22      0.00      2.88      0.00      0.00     94.89
08:10:01        all      2.45      0.00      3.00      0.00      0.00     94.55
08:20:01        all      2.25      0.00      2.88      0.00      0.00     94.86
08:30:01        all      2.27      0.00      2.90      0.00      0.00     94.83
08:40:01        all      2.31      0.00      3.00      0.00      0.00     94.69
08:50:01        all      2.62      0.00      2.91      0.00      0.00     94.48
09:00:01        all      2.57      0.00      2.88      0.00      0.00     94.55
09:10:01        all      2.49      0.00      3.09      0.00      0.00     94.42
09:20:01        all      2.30      0.00      2.99      0.00      0.00     94.71
09:30:01        all      2.28      0.00      2.98      0.00      0.00     94.74
09:40:01        all      2.39      0.00      3.17      0.00      0.00     94.44
09:50:01        all      2.36      0.00      3.09      0.00      0.00     94.55
10:00:01        all      2.33      0.00      3.17      0.00      0.00     94.49
10:10:01        all      2.51      0.00      3.21      0.00      0.00     94.28
10:20:01        all      2.33      0.00      3.10      0.00      0.00     94.58
10:30:01        all      2.30      0.00      3.09      0.00      0.00     94.60
10:40:01        all      2.35      0.00      3.17      0.00      0.00     94.48
10:50:01        all      2.89      0.00      3.18      0.04      0.00     93.89
11:00:01        all      3.12      0.00      3.07      0.00      0.00     93.81
11:10:01        all      2.60      0.00      3.22      0.00      0.00     94.18
11:20:01        all      2.33      0.00      3.13      0.00      0.00     94.53
11:30:01        all      2.39      0.00      3.10      0.00      0.00     94.51
11:40:01        all      2.42      0.00      3.26      0.00      0.00     94.32
11:50:01        all      2.36      0.00      3.11      0.00      0.00     94.53
12:00:01        all      2.36      0.00      3.10      0.02      0.00     94.53
12:10:01        all      2.71      0.00      3.62      0.01      0.00     93.66
12:20:01        all      2.45      0.00      3.13      0.01      0.00     94.41
12:30:01        all      2.32      0.00      3.08      0.00      0.00     94.60
12:40:01        all      2.42      0.00      3.17      0.00      0.00     94.41
12:50:01        all      2.62      0.00      3.14      0.00      0.00     94.24
01:00:01        all      2.66      0.00      3.09      0.00      0.00     94.25
01:10:01        all      2.39      0.00      3.17      0.00      0.00     94.44
01:20:01        all      2.47      0.00      3.10      0.00      0.00     94.43
01:30:01        all      2.44      0.00      3.27      0.01      0.00     94.28
01:40:01        all      2.42      0.00      3.22      0.00      0.00     94.35
01:50:01        all      2.34      0.00      3.06      0.00      0.00     94.59
02:00:01        all      2.35      0.00      3.13      0.00      0.00     94.52
02:10:01        all      2.37      0.00      3.18      0.00      0.00     94.45
02:20:01        all      2.52      0.00      3.08      0.00      0.00     94.40
02:30:01        all      2.39      0.00      3.11      0.00      0.00     94.50
02:40:01        all      2.39      0.00      3.18      0.00      0.00     94.42
02:50:01        all      2.67      0.00      3.14      0.00      0.00     94.19
03:00:01        all      2.70      0.00      3.12      0.00      0.00     94.18
03:10:01        all      2.57      0.00      3.22      0.00      0.00     94.21
