Linux 2.6.32.43-tlinux-1.0.8-default (TENCENT64.site) 	12/24/2018 	_x86_64_	(24 CPU)

12:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:20:01        all      2.38      0.00      3.13      0.00      0.00     94.49
04:30:01        all      2.39      0.00      3.15      0.00      0.00     94.46
04:40:01        all      2.53      0.00      3.24      0.00      0.00     94.23
04:50:01        all      2.46      0.00      3.16      0.00      0.00     94.37
05:00:01        all      2.73      0.00      3.19      0.01      0.00     94.06
05:10:01        all      2.52      0.00      3.21      0.00      0.00     94.27
05:20:01        all      2.92      0.00      3.27      0.00      0.00     93.81
05:30:01        all      2.65      0.00      3.33      0.00      0.00     94.02
05:40:01        all      2.62      0.00      3.39      0.00      0.00     93.98
05:50:01        all      2.47      0.00      3.26      0.00      0.00     94.26
06:00:01        all      2.58      0.00      3.28      0.00      0.00     94.13
06:10:01        all      2.50      0.00      3.25      0.00      0.00     94.24
06:20:01        all      2.39      0.00      3.12      0.00      0.00     94.49
06:30:01        all      2.40      0.00      3.17      0.00      0.00     94.42
06:40:01        all      2.50      0.00      3.29      0.00      0.00     94.20
06:50:01        all      2.40      0.00      3.15      0.00      0.00     94.45
07:00:01        all      2.48      0.00      3.20      0.02      0.00     94.31
07:10:01        all      3.02      0.00      3.19      0.01      0.00     93.79
07:20:01        all      2.97      0.00      3.12      0.00      0.00     93.91
07:30:01        all      2.61      0.00      3.13      0.00      0.00     94.25
07:40:01        all      2.48      0.00      3.22      0.01      0.00     94.29
07:50:01        all      2.42      0.00      3.16      0.00      0.00     94.43
08:00:01        all      2.59      0.00      3.20      0.00      0.00     94.21
08:10:01        all      4.10      0.00      3.51      0.13      0.00     92.25
08:20:01        all      3.77      0.00      3.39      0.11      0.00     92.74
08:30:01        all      2.49      0.00      3.15      0.00      0.00     94.35
08:40:01        all      9.70      0.00      4.55      0.79      0.00     84.97
08:50:01        all      4.00      0.00      3.46      0.18      0.00     92.36
09:00:01        all      8.43      0.00      4.27      0.42      0.00     86.87
09:10:02        all     10.24      0.00      4.58      0.70      0.00     84.49
09:20:01        all      3.12      0.00      3.09      0.01      0.00     93.78
09:30:01        all      2.93      0.00      3.08      0.02      0.00     93.97
09:40:01        all      2.60      0.00      3.07      0.00      0.00     94.33
09:50:01        all      2.50      0.00      2.98      0.00      0.00     94.51
10:00:02        all      2.50      0.00      3.00      0.02      0.00     94.47
10:10:01        all      2.94      0.00      3.17      0.02      0.00     93.88
10:20:01        all      2.55      0.00      3.02      0.00      0.00     94.43
10:30:01        all      2.42      0.00      2.96      0.01      0.00     94.62
10:40:01        all      2.47      0.00      3.08      0.00      0.00     94.44
10:50:01        all      2.42      0.00      2.97      0.01      0.00     94.60
11:00:01        all      2.43      0.00      2.94      0.01      0.00     94.62
11:10:01        all      2.70      0.00      3.14      0.24      0.00     93.92
11:20:01        all      2.55      0.00      3.03      0.20      0.00     94.22
11:30:01        all      2.99      0.00      3.09      0.32      0.00     93.60
11:40:01        all      2.76      0.00      3.09      0.27      0.00     93.89
11:50:01        all      2.76      0.00      3.01      0.26      0.00     93.97
